user_id,movie_id,view_count,liked,saved,shared,comment_count,search_count,movie_interaction_count,target_score,account_age_days,total_views,total_likes,total_saves,total_shares,total_comments,total_searches,avg_interaction_weight,favorite_genres,preferred_runtime,preferred_release_year,favorite_directors,favorite_writers,user_interaction_count,active_days,genres,rate,release_year,runtime,country,is_series,adult,director_id,writer_id,producer_id,popularity,days_since_last_interaction
1,291,1,False,False,True,0,2,4,1.6,1270,123,11,10,7,26,58,1.556,"['History', 'Science Fiction', 'Fantasy']",129,2001,"[100, 25, 14]","[48, 7, 69]",50,241,['Comedy'],5.0,2009,115,Canada,True,False,99,54,58,2243,76.00000234393518
1,400,4,True,False,False,2,1,8,2.9,1270,123,11,10,7,26,58,1.556,"['History', 'Science Fiction', 'Fantasy']",129,2001,"[100, 25, 14]","[48, 7, 69]",50,323,"['Science Fiction', 'Music']",8.5,2011,145,UK,False,False,108,72,18,2251,58.00000234342593
1,95,3,False,False,False,0,1,4,0.7,1270,123,11,10,7,26,58,1.556,"['History', 'Science Fiction', 'Fantasy']",129,2001,"[100, 25, 14]","[48, 7, 69]",50,32,['Western'],9.0,1983,152,India,False,False,100,59,78,4594,263.000002343206
1,392,1,False,False,False,0,0,1,0.2,1270,123,11,10,7,26,58,1.556,"['History', 'Science Fiction', 'Fantasy']",129,2001,"[100, 25, 14]","[48, 7, 69]",50,210,"['History', 'Animation']",5.6,2008,123,Canada,False,True,21,137,29,1702,277.0000023430324
1,34,1,False,False,False,1,2,4,0.9,1270,123,11,10,7,26,58,1.556,"['History', 'Science Fiction', 'Fantasy']",129,2001,"[100, 25, 14]","[48, 7, 69]",50,718,"['Crime', 'Family', 'Documentary']",9.7,1991,127,USA,False,False,101,106,86,4510,163.0000023428588
1,167,3,False,False,False,1,2,6,1.3,1270,123,11,10,7,26,58,1.556,"['History', 'Science Fiction', 'Fantasy']",129,2001,"[100, 25, 14]","[48, 7, 69]",50,556,['Western'],9.5,1989,96,Iran,False,False,106,8,11,1169,360.00000234270834
1,161,3,False,False,False,0,2,5,0.8,1270,123,11,10,7,26,58,1.556,"['History', 'Science Fiction', 'Fantasy']",129,2001,"[100, 25, 14]","[48, 7, 69]",50,581,"['Horror', 'Music', 'Animation']",7.2,1998,113,France,False,False,82,45,47,4712,125.00000234248843
1,56,4,True,False,False,0,2,7,2.0,1270,123,11,10,7,26,58,1.556,"['History', 'Science Fiction', 'Fantasy']",129,2001,"[100, 25, 14]","[48, 7, 69]",50,351,"['Fantasy', 'Music']",5.0,2018,170,UK,False,False,40,28,75,593,159.00000234233795
1,276,3,False,True,False,0,0,4,2.1,1270,123,11,10,7,26,58,1.556,"['History', 'Science Fiction', 'Fantasy']",129,2001,"[100, 25, 14]","[48, 7, 69]",50,1256,"['Drama', 'Crime', 'Horror']",6.3,2020,172,UK,False,False,109,62,8,2784,276.0000023421875
1,150,3,False,False,False,1,0,4,1.1,1270,123,11,10,7,26,58,1.556,"['History', 'Science Fiction', 'Fantasy']",129,2001,"[100, 25, 14]","[48, 7, 69]",50,909,"['War', 'Horror']",8.7,1991,174,India,False,False,24,35,9,425,66.0000023420486
1,217,2,False,False,False,0,1,3,0.5,1270,123,11,10,7,26,58,1.556,"['History', 'Science Fiction', 'Fantasy']",129,2001,"[100, 25, 14]","[48, 7, 69]",50,60,['TV Movie'],7.2,2023,118,Japan,False,False,93,126,59,3866,345.0000023416898
1,425,3,True,False,True,2,2,9,4.0,1270,123,11,10,7,26,58,1.556,"['History', 'Science Fiction', 'Fantasy']",129,2001,"[100, 25, 14]","[48, 7, 69]",50,104,"['Family', 'Documentary', 'Adventure']",6.1,2021,75,France,True,False,52,91,86,877,196.0000023414699
1,280,1,False,False,True,1,2,5,2.1,1270,123,11,10,7,26,58,1.556,"['History', 'Science Fiction', 'Fantasy']",129,2001,"[100, 25, 14]","[48, 7, 69]",50,111,"['Western', 'Animation', 'TV Movie']",6.6,2003,82,India,False,False,21,66,99,715,218.00000234133103
1,460,1,False,False,False,0,2,3,0.4,1270,123,11,10,7,26,58,1.556,"['History', 'Science Fiction', 'Fantasy']",129,2001,"[100, 25, 14]","[48, 7, 69]",50,803,"['Comedy', 'Thriller']",7.9,1993,135,Canada,False,False,42,41,81,1476,360.00000234113423
1,376,0,True,False,False,0,2,3,1.2,1270,123,11,10,7,26,58,1.556,"['History', 'Science Fiction', 'Fantasy']",129,2001,"[100, 25, 14]","[48, 7, 69]",50,1221,['Thriller'],4.6,2004,93,USA,False,False,97,42,37,4865,322.0000023409838
1,363,3,False,False,False,0,1,4,0.7,1270,123,11,10,7,26,58,1.556,"['History', 'Science Fiction', 'Fantasy']",129,2001,"[100, 25, 14]","[48, 7, 69]",50,914,"['Mystery', 'Crime', 'Adventure']",4.1,1990,139,India,False,False,10,126,42,2923,159.0000023408449
1,282,3,True,True,False,2,0,7,4.1,1270,123,11,10,7,26,58,1.556,"['History', 'Science Fiction', 'Fantasy']",129,2001,"[100, 25, 14]","[48, 7, 69]",50,681,"['Music', 'Mystery']",9.3,1991,79,South Korea,False,False,84,108,29,1633,365.00000234069444
1,84,7,True,False,True,1,1,11,4.2,1270,123,11,10,7,26,58,1.556,"['History', 'Science Fiction', 'Fantasy']",129,2001,"[100, 25, 14]","[48, 7, 69]",50,1093,['History'],8.2,2017,149,India,False,False,62,89,43,653,238.0000023405324
1,374,3,False,False,False,0,0,3,0.6,1270,123,11,10,7,26,58,1.556,"['History', 'Science Fiction', 'Fantasy']",129,2001,"[100, 25, 14]","[48, 7, 69]",50,1163,"['Horror', 'War', 'Drama']",5.2,2019,166,Japan,False,False,17,46,65,1089,47.00000234038195
1,319,7,True,False,False,2,0,10,3.4,1270,123,11,10,7,26,58,1.556,"['History', 'Science Fiction', 'Fantasy']",129,2001,"[100, 25, 14]","[48, 7, 69]",50,960,"['Documentary', 'Science Fiction']",4.3,2008,134,Japan,False,False,8,39,97,806,233.00000234024307
1,312,4,True,False,False,1,1,7,2.4,1270,123,11,10,7,26,58,1.556,"['History', 'Science Fiction', 'Fantasy']",129,2001,"[100, 25, 14]","[48, 7, 69]",50,636,"['Science Fiction', 'Romance']",9.6,2006,138,Canada,False,False,107,123,74,3822,240.00000234004628
1,41,5,False,False,False,0,0,5,1.0,1270,123,11,10,7,26,58,1.556,"['History', 'Science Fiction', 'Fantasy']",129,2001,"[100, 25, 14]","[48, 7, 69]",50,475,"['History', 'Mystery', 'Action']",5.8,1993,130,Iran,False,False,28,131,61,1843,73.00000233990741
1,95,1,True,True,True,0,2,6,4.1,1270,123,11,10,7,26,58,1.556,"['History', 'Science Fiction', 'Fantasy']",129,2001,"[100, 25, 14]","[48, 7, 69]",50,1264,['Western'],9.0,1983,152,India,False,False,100,59,78,2123,186.0000023397685
1,296,2,False,False,False,0,0,2,0.4,1270,123,11,10,7,26,58,1.556,"['History', 'Science Fiction', 'Fantasy']",129,2001,"[100, 25, 14]","[48, 7, 69]",50,803,['Drama'],9.2,2008,178,France,True,False,104,85,16,1512,358.00000233962965
1,345,2,False,False,False,0,1,3,0.5,1270,123,11,10,7,26,58,1.556,"['History', 'Science Fiction', 'Fantasy']",129,2001,"[100, 25, 14]","[48, 7, 69]",50,677,['Western'],8.4,2011,175,UK,True,False,55,104,55,2670,232.00000233950232
