user_id,movie_id,target_score,account_age_days,total_views,total_likes,total_saves,total_shares,total_comments,total_searches,total_watches,total_completes,avg_interaction_weight,favorite_genres,preferred_runtime,preferred_release_year,favorite_directors,favorite_writers,user_interaction_count,active_days,genres,rate,release_year,runtime,country,is_series,adult,director_id,writer_id,producer_id,popularity
655,4257,4.3,229,1518,140,62,28,71,754,52,43,0.29,"[19, 14, 2]",63,1985,"[30, 65]",[72],2668,7,"[18, 14, 8]",5.0,1997,163,USA,True,False,44,36,20,3527
827,5554,4.9,89,1098,63,96,10,282,300,424,321,0.5,"[19, 7, 3, 2, 11]",89,1998,[30],[49],2594,59,"[12, 6]",4.3,1993,145,France,True,True,69,94,32,2677
825,9085,4.8,647,548,33,54,72,161,217,335,255,0.57,"[15, 5, 9, 18, 4, 12]",131,2014,"[96, 75, 55]","[47, 29, 18, 66]",1675,411,[2],8.7,1989,140,Canada,False,True,50,49,77,7668
301,6310,4.2,891,929,1,184,92,134,512,390,91,0.46,"[10, 17, 7]",79,2003,"[70, 100]",[77],2333,162,"[1, 4]",9.4,1999,90,USA,True,True,11,94,63,1133
952,1964,4.2,412,638,204,171,83,191,448,460,264,0.6,"[4, 8, 18, 3, 6, 1]",135,2015,"[76, 29]",[10],2459,366,[3],9.1,2001,69,Japan,True,False,86,63,28,8834
675,8579,4.4,883,867,210,119,93,27,689,334,330,0.52,"[2, 13, 11]",162,1986,"[25, 69]","[18, 55, 24, 36]",2669,363,[3],5.0,2015,72,USA,True,True,97,31,22,6658
400,8811,5.7,544,584,216,178,93,284,677,367,249,0.56,"[7, 10, 19, 2]",134,2014,[96],"[8, 7, 75]",2648,466,"[17, 6, 2]",9.6,1985,168,Canada,True,True,87,31,52,1964
210,3584,6.0,644,543,202,33,85,153,468,161,18,0.43,"[15, 4, 3]",128,1993,"[17, 45, 9]","[48, 37]",1663,245,"[18, 10]",6.5,2021,127,USA,False,True,18,34,15,1753
704,3442,3.3,541,1000,128,13,11,216,283,22,0,0.31,"[5, 9, 6, 15, 18]",150,2007,[15],[89],1673,518,"[2, 12, 5]",4.9,1982,99,Italy,True,False,27,88,32,1684
184,4164,6.4,681,1642,342,188,31,136,163,403,359,0.55,"[13, 2, 16]",88,1992,"[45, 40, 30, 29]",[85],3264,422,"[11, 9]",8.8,1997,104,India,False,False,4,15,34,2925
621,3041,6.7,1048,788,460,147,24,130,45,362,223,0.67,"[17, 18, 7]",106,2007,[86],"[80, 41, 85]",2179,237,"[10, 17, 19]",7.0,2000,111,France,True,True,54,86,49,2851
805,5011,2.7,660,904,226,172,27,261,484,406,376,0.56,"[3, 10, 17, 11]",71,1995,"[29, 26, 19]",[6],2856,477,"[3, 15]",4.7,2020,133,Germany,False,False,52,32,19,90
