user_id,movie_id,view_count,liked,saved,shared,comment_count,search_count,interaction_count_x,target_score,last_interaction,account_age_days,total_views,total_likes,total_saves,total_shares,total_comments,total_searches,avg_interaction_weight,favorite_genres,preferred_runtime,preferred_release_year,favorite_directors,favorite_writers,interaction_count_y,active_days,genres,rate,release_year,runtime,country,is_series,adult,director_id,writer_id,producer_id,popularity
387,283,2,True,True,False,0,1,5,0.4883,2026-07-16 10:23:24.312005+00:00,3,5,3,2,1,0,0,0.7454545454545454,"['Adventure', 'Animation', 'Music']",156.0,1985.5,"[9, 90, 4, 7]","[10, 91, 5, 7]",5,0,"['Action', 'Adventure', 'Fantasy']",8.9,2001,178,New Zealand,False,False,9,10.0,11.0,3
101,1774,0,False,True,False,0,2,3,0.2185,2026-07-19 13:44:29.320118+00:00,0,8,3,3,1,0,2,0.6176470588235294,"['Family', 'History', 'Western']",190.75,1995.5,"[9, 4, 12, 14]","[10, 5, 14]",3,0,"['Horror', 'Science Fiction']",8.5,1979,117,USA,False,False,37,88.0,,1
194,536,5,False,False,False,2,2,9,0.6994,2026-07-19 13:44:09.115316+00:00,0,8,3,3,1,0,2,0.6176470588235294,"['Family', 'History', 'Western']",190.75,1995.5,"[9, 4, 12, 14]","[10, 5, 14]",9,0,"['History', 'Family']",9.0,1974,202,USA,False,False,4,5.0,6.0,4
14,235,4,True,True,False,1,1,8,0.6678,2026-07-19 13:46:02.178915+00:00,0,6,1,1,0,0,2,0.39,"['Action', 'Adventure', 'Comedy']",160.0,1980.0,"[1, 15]","[2, 95]",8,0,"['Adventure', 'Action']",8.7,1980,124,USA,False,False,22,23.0,24.0,1
143,1476,2,False,False,False,0,1,3,0.2202,2026-07-19 13:44:09.115316+00:00,0,8,3,3,1,0,2,0.6176470588235294,"['Family', 'History', 'Western']",190.75,1995.5,"[9, 4, 12, 14]","[10, 5, 14]",3,0,"['Crime', 'Drama']",9.0,1974,202,USA,False,False,4,5.0,6.0,4
449,184,6,True,True,False,2,2,12,0.7429,2026-07-19 13:44:29.320118+00:00,0,8,3,3,1,0,2,0.6176470588235294,"['Family', 'History', 'Western']",190.75,1995.5,"[9, 4, 12, 14]","[10, 5, 14]",12,0,"['History', 'Western']",8.5,1979,117,USA,False,False,37,88.0,,1
213,1073,1,True,True,False,1,1,5,0.4086,2026-07-16 10:22:59.544167+00:00,3,5,3,2,1,0,0,0.7454545454545454,"['Adventure', 'Animation', 'Music']",156.0,1985.5,"[9, 90, 4, 7]","[10, 91, 5, 7]",5,0,['Animation'],8.5,2012,165,USA,False,False,14,14.0,96.0,6
227,782,2,True,True,False,1,1,6,0.4721,2026-07-16 10:23:13.695771+00:00,3,5,3,2,1,0,0,0.7454545454545454,"['Adventure', 'Animation', 'Music']",156.0,1985.5,"[9, 90, 4, 7]","[10, 91, 5, 7]",6,0,['Animation'],9.0,1957,96,USA,False,False,90,91.0,,3
154,425,4,True,True,False,2,2,10,0.5157,2026-07-16 10:23:24.312005+00:00,3,5,3,2,1,0,0,0.7454545454545454,"['Adventure', 'Animation', 'Music']",156.0,1985.5,"[9, 90, 4, 7]","[10, 91, 5, 7]",10,0,"['Action', 'Adventure', 'Fantasy']",8.9,2001,178,New Zealand,False,False,9,10.0,11.0,3
296,166,3,True,True,False,1,2,8,0.5003,2026-07-19 13:44:10.706306+00:00,0,8,3,3,1,0,2,0.6176470588235294,"['Family', 'History', 'Western']",190.75,1995.5,"[9, 4, 12, 14]","[10, 5, 14]",8,0,['Western'],8.5,1968,165,Italy,False,False,15,110.0,111.0,1
348,1659,0,False,False,True,0,2,2,0.2473,2026-07-16 10:22:59.544167+00:00,3,5,3,2,1,0,0,0.7454545454545454,"['Adventure', 'Animation', 'Music']",156.0,1985.5,"[9, 90, 4, 7]","[10, 91, 5, 7]",2,0,"['Drama', 'Western']",8.5,2012,165,USA,False,False,14,14.0,96.0,6
89,1463,1,True,True,False,0,3,6,0.3917,2026-07-19 13:44:12.525501+00:00,0,8,3,3,1,0,2,0.6176470588235294,"['Family', 'History', 'Western']",190.75,1995.5,"[9, 4, 12, 14]","[10, 5, 14]",6,0,"['Drama', 'Western']",8.5,2012,165,USA,False,False,14,14.0,96.0,6
355,462,8,True,True,False,1,1,12,1.0,2026-07-19 13:45:12.743805+00:00,0,8,3,3,1,0,2,0.6176470588235294,"['Family', 'History', 'Western']",190.75,1995.5,"[9, 4, 12, 14]","[10, 5, 14]",12,0,"['Family', 'History', 'Western']",8.7,1975,133,USA,False,False,31,32.0,,3
260,386,1,False,True,False,0,1,3,0.1859,2026-07-19 13:45:12.743805+00:00,0,8,3,3,1,0,2,0.6176470588235294,"['Family', 'History', 'Western']",190.75,1995.5,"[9, 4, 12, 14]","[10, 5, 14]",3,0,['Drama'],8.7,1975,133,USA,False,False,31,32.0,,3
329,1529,4,True,True,False,0,0,6,0.6656,2026-07-19 13:46:00.875476+00:00,0,6,1,1,0,0,2,0.39,"['Action', 'Adventure', 'Comedy']",160.0,1980.0,"[1, 15]","[2, 95]",6,0,"['Action', 'Adventure']",8.8,2010,148,USA,False,False,7,7.0,8.0,3
94,378,3,True,True,False,1,2,8,0.4906,2026-07-19 13:44:29.320118+00:00,0,8,3,3,1,0,2,0.6176470588235294,"['Family', 'History', 'Western']",190.75,1995.5,"[9, 4, 12, 14]","[10, 5, 14]",8,0,['Family'],8.5,1979,117,USA,False,False,37,88.0,,1
201,966,1,False,False,False,0,3,4,0.2254,2026-07-16 10:22:59.544167+00:00,3,5,3,2,1,0,0,0.7454545454545454,"['Adventure', 'Animation', 'Music']",156.0,1985.5,"[9, 90, 4, 7]","[10, 91, 5, 7]",4,0,"['Drama', 'Western']",8.5,2012,165,USA,False,False,14,14.0,96.0,6
403,92,5,True,True,False,3,3,13,0.7401,2026-07-16 10:22:59.544167+00:00,3,5,3,2,1,0,0,0.7454545454545454,"['Adventure', 'Animation', 'Music']",156.0,1985.5,"[9, 90, 4, 7]","[10, 91, 5, 7]",13,0,"['Adventure', 'Animation']",8.5,2012,165,USA,False,False,14,14.0,96.0,6
