user_id,movie_id,view_count,liked,saved,shared,comment_count,search_count,interaction_count,target_score,last_interaction,account_age_days,total_views,total_likes,total_saves,total_shares,total_comments,total_searches,avg_interaction_weight,favorite_genres,preferred_runtime,preferred_release_year,favorite_directors,favorite_writers,interaction_count_user,active_days,genres,rate,release_year,runtime,country,is_series,adult,director_id,writer_id,producer_id,popularity
380,140,3,True,False,False,0,5,9,2.1,2025-03-31,865,21,3,11,13,59,258,0.92,Drama|War|Romance,98,2013,18|52|56,21,437,349,Crime|Drama,9.6,2001,88,UK,False,False,23,78,17,360
317,93,14,False,False,False,2,5,21,4.3,2025-07-16,143,28,84,29,18,20,119,1.24,Fantasy|Science Fiction,151,2008,24,27|35,78,624,Documentary|War|Family,4.9,2004,109,Germany,False,False,50,8,15,267
336,128,10,False,True,False,2,1,14,4.6,2026-02-10,940,78,33,17,15,143,275,0.52,Romance|Mystery|Music,98,1993,32|6|49,15,161,643,Romance,7.5,2004,123,Italy,False,False,36,2,44,943
2,185,8,False,False,False,1,3,12,2.4,2025-09-27,1026,395,22,64,6,76,259,0.93,Music,167,1995,50|34|59,77,336,501,Comedy,9.4,1999,105,USA,False,False,6,11,47,3986
85,68,2,False,False,True,3,4,10,3.5,2026-06-25,867,498,27,69,12,79,204,1.39,Music|Science Fiction|Thriller,127,1992,15,44,26,603,Family|Western|Action,4.4,2020,82,France,True,True,22,10,33,1954
402,122,8,False,True,True,3,1,14,5.9,2026-02-21,390,53,12,55,22,108,210,0.76,Adventure|Comedy|Western,121,2006,16,25,554,460,Romance,5.1,2009,106,UK,False,False,36,13,4,4433
249,124,0,False,False,False,1,3,4,0.8,2025-08-07,822,467,7,21,24,0,199,0.52,History|Romance,159,2020,46|32|10,38,227,60,War|Adventure|Horror,4.3,2017,136,Germany,False,False,4,66,6,1527
127,149,2,False,False,False,0,4,6,0.8,2025-02-10,168,219,84,74,36,133,161,1.32,Horror,100,2001,9|43,39|59|41,79,10,Western|Comedy,4.4,1993,139,Korea,True,False,5,32,24,2339
419,142,5,False,False,False,0,5,10,1.5,2025-11-03,213,485,112,17,16,29,54,1.09,Fantasy,106,2023,46,27|34,522,501,Adventure|Animation,7.7,1997,80,USA,False,False,17,21,48,3624
19,95,13,False,True,False,1,4,19,5.0,2025-06-01,881,70,5,39,23,10,183,0.45,Comedy,115,2020,40|48,31,171,820,Romance,4.1,2001,175,Iran,False,False,52,32,18,1309
180,79,3,False,True,False,1,3,8,2.9,2025-08-22,457,17,84,24,25,84,142,1.24,Music|Thriller,121,2019,2|8,23|75,276,40,Romance,6.0,2000,130,Italy,False,False,58,74,13,2091
221,18,1,False,True,False,1,2,5,2.4,2025-12-05,643,344,108,15,19,129,158,1.0,Mystery|History,140,1993,27,49|23|79,587,309,War|Action,5.8,1993,130,Italy,False,False,29,57,44,1755
264,170,15,False,False,False,0,2,17,3.2,2025-12-10,192,424,96,30,19,57,101,0.38,Family,130,2024,30,74|25,398,507,Family|Crime,7.8,1980,189,UK,False,False,52,67,30,416
272,144,7,False,True,True,3,5,17,6.1,2025-11-21,907,318,104,64,27,140,228,1.28,TV Movie|Science Fiction|Fantasy,166,2000,18|50|34,31|36,455,80,History|Family|Fantasy,5.9,2014,85,Japan,True,False,10,28,5,3403
464,198,13,True,False,True,3,3,21,6.6,2025-01-21,1180,199,61,0,22,76,199,1.22,War|Western,147,1999,15|18,63|4,403,345,Mystery|Documentary|Science Fiction,9.3,2019,143,USA,False,False,43,4,6,3516
233,84,4,False,True,False,2,1,8,3.4,2025-12-12,777,147,96,53,16,20,240,0.22,Adventure|Music|Family,153,1989,3|49|2,26,25,637,Family,4.7,2022,89,Italy,False,False,17,48,11,4968
295,174,3,False,True,False,0,2,6,2.3,2026-01-20,813,487,91,25,4,62,52,1.04,Comedy|Adventure,114,2019,43|24,65,354,13,TV Movie|Comedy,6.5,2003,156,Canada,False,False,47,67,42,2217
426,23,15,False,False,False,2,1,18,4.1,2025-10-13,924,129,96,59,36,97,172,0.23,Documentary|TV Movie,97,2007,22|18,36|72|2,534,196,Family,8.2,2011,146,France,False,False,32,58,2,767
284,136,9,True,False,False,2,3,15,4.1,2025-12-19,872,386,70,42,22,116,138,0.57,Comedy,162,1997,8|48,24|25|28,500,284,Western|Thriller|History,9.7,1992,112,France,False,False,46,69,9,2252
445,193,1,False,False,False,1,5,7,1.2,2026-05-18,211,451,1,73,18,120,245,0.73,Adventure,102,2015,53,52,508,76,Adventure|Crime|War,8.7,1999,85,France,True,False,39,77,40,1853
292,159,12,False,False,False,3,2,17,4.1,2025-03-03,204,490,97,26,40,54,135,0.99,Family,92,2020,11,53,466,706,TV Movie|History|Adventure,5.3,2025,111,Canada,True,False,17,76,43,1625
37,16,13,True,True,True,2,1,19,7.4,2025-06-19,630,309,95,72,18,112,63,0.76,Mystery|Fantasy,134,2019,29|6,6|56|42,261,27,Family,9.6,2016,150,USA,False,False,18,74,3,1440
417,126,15,False,False,False,3,5,23,5.0,2025-04-04,963,183,52,42,20,26,82,0.6,TV Movie|History|Mystery,167,2020,30,41,263,332,Mystery,9.0,1980,159,Germany,False,True,34,47,40,4088
451,179,14,False,True,False,2,3,20,5.6,2026-05-12,249,19,80,77,15,40,159,0.86,Romance|Animation|Family,84,2014,42,64,303,522,Fantasy|Romance|TV Movie,9.7,1995,133,Germany,True,False,39,66,48,1123
145,186,2,True,False,False,2,0,5,2.4,2025-11-02,1188,342,62,19,28,137,247,0.61,War|Mystery|Science Fiction,111,1997,16|37|25,53,49,326,TV Movie|Mystery|War,9.7,2021,94,Canada,False,False,38,43,7,3611
497,40,3,False,False,False,3,5,11,2.6,2025-03-18,962,405,33,43,39,101,41,1.22,War|Mystery|Horror,150,2016,3|40|5,37,237,765,Romance,9.7,2020,165,UK,False,False,58,4,3,2662
350,47,1,True,False,True,3,4,10,4.3,2025-06-24,359,45,78,48,39,61,254,1.3,Family,129,2025,30|17,2|60|37,564,162,Science Fiction,9.5,2017,113,Iran,False,False,20,26,25,3963
425,169,3,True,False,False,2,0,6,2.6,2026-02-10,563,9,72,6,38,127,146,1.13,Music,98,2025,40,18|13,45,317,Adventure|Music,8.2,1985,112,India,False,False,9,70,24,4353
383,87,8,False,False,False,3,2,13,3.3,2025-04-28,960,498,9,18,14,101,285,0.64,Action|Fantasy,138,1992,24|44,34|75|49,385,111,Family|TV Movie|Action,7.6,2015,116,Italy,False,True,53,60,45,2480
50,61,13,True,True,True,3,0,19,7.8,2025-05-19,796,237,47,69,26,150,79,1.26,Comedy|TV Movie|Romance,105,1987,24|14|29,31|47,106,703,War|Music,4.4,1997,99,UK,False,False,6,28,42,4896
425,196,0,True,False,False,1,0,2,1.5,2025-08-01,443,421,111,29,21,37,1,0.53,Crime,139,2001,8,4|17|2,371,809,Western,5.9,1991,108,USA,True,False,8,9,31,3677
402,169,11,False,True,False,0,5,17,4.2,2026-06-18,618,239,82,3,3,122,205,0.71,TV Movie,161,2013,58,42,156,68,Fantasy,7.6,2017,145,India,False,False,19,59,33,4964
232,59,13,True,False,False,1,3,18,4.4,2026-02-28,695,428,58,51,26,24,160,0.71,Fantasy|Music|Crime,157,2015,6,12,447,99,Music|Crime|Adventure,7.4,2015,146,India,False,False,56,55,47,426
337,124,9,False,False,False,1,1,11,2.4,2025-08-18,222,184,108,71,23,29,142,0.89,War|Western,73,2023,54|45|18,24,284,720,Horror|Music,4.0,1989,147,Iran,True,False,2,12,48,4350
167,199,6,False,False,False,2,5,13,2.7,2025-03-28,108,84,20,79,3,20,139,0.73,TV Movie|Science Fiction,123,2002,49,15|45|56,118,291,Western|TV Movie|Thriller,7.9,1982,103,Iran,False,True,14,39,14,1129
67,98,8,True,True,False,3,1,14,5.7,2025-08-24,1025,291,106,45,4,101,21,0.72,Animation|Horror,143,2012,26|46|41,38|15,419,22,Documentary|Science Fiction,8.8,2003,86,Iran,False,False,38,52,34,649
